15/06/28 23:21:55 INFO input.FileInputFormat: Total input paths to process : 43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: number of splits:43008
15/06/28 23:22:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1434651818028_24369
15/06/28 23:22:42 INFO impl.YarnClientImpl: Submitted application application_1434651818028_24369
15/06/28 23:22:42 INFO mapreduce.Job: The url to track the job: http://analytics1001.eqiad.wmnet:8088/proxy/application_1434651818028_24369/
15/06/29 07:00:16 INFO mapreduce.Job:  map 100% reduce 49%
15/06/29 07:01:08 INFO mapreduce.Job:  map 100% reduce 50%
15/06/29 07:02:01 INFO mapreduce.Job:  map 100% reduce 51%
15/06/29 07:02:42 INFO mapreduce.Job:  map 100% reduce 52%
15/06/29 07:03:49 INFO mapreduce.Job:  map 100% reduce 53%
15/06/29 07:04:54 INFO mapreduce.Job:  map 100% reduce 54%
15/06/29 07:05:56 INFO mapreduce.Job:  map 100% reduce 55%
15/06/29 07:07:04 INFO mapreduce.Job:  map 100% reduce 56%
15/06/29 07:08:20 INFO mapreduce.Job:  map 100% reduce 57%
15/06/29 07:08:44 INFO mapreduce.Job:  map 100% reduce 58%
15/06/29 07:09:33 INFO mapreduce.Job:  map 100% reduce 59%
15/06/29 07:10:06 INFO mapreduce.Job:  map 100% reduce 60%
15/06/29 07:10:39 INFO mapreduce.Job:  map 100% reduce 61%
15/06/29 07:11:02 INFO mapreduce.Job:  map 100% reduce 62%
15/06/29 07:11:35 INFO mapreduce.Job:  map 100% reduce 63%
15/06/29 07:12:11 INFO mapreduce.Job:  map 100% reduce 64%
15/06/29 07:12:45 INFO mapreduce.Job:  map 100% reduce 65%
15/06/29 07:13:07 INFO mapreduce.Job:  map 100% reduce 66%
15/06/29 07:13:39 INFO mapreduce.Job:  map 100% reduce 67%
15/06/29 07:14:06 INFO mapreduce.Job:  map 100% reduce 68%
15/06/29 07:14:30 INFO mapreduce.Job:  map 100% reduce 69%
15/06/29 07:15:05 INFO mapreduce.Job:  map 100% reduce 70%
15/06/29 07:15:36 INFO mapreduce.Job:  map 100% reduce 71%
15/06/29 07:16:15 INFO mapreduce.Job:  map 100% reduce 72%
15/06/29 07:16:33 INFO mapreduce.Job:  map 100% reduce 73%
15/06/29 07:16:54 INFO mapreduce.Job:  map 100% reduce 74%
15/06/29 07:17:16 INFO mapreduce.Job:  map 100% reduce 75%
15/06/29 07:17:58 INFO mapreduce.Job:  map 100% reduce 76%
15/06/29 07:18:39 INFO mapreduce.Job:  map 100% reduce 77%
15/06/29 07:20:08 INFO mapreduce.Job:  map 100% reduce 78%
15/06/29 07:21:45 INFO mapreduce.Job:  map 100% reduce 79%
15/06/29 07:23:26 INFO mapreduce.Job:  map 100% reduce 80%
15/06/29 07:25:07 INFO mapreduce.Job:  map 100% reduce 81%
